,name,country,career_starting_at,career_ending_at,career_length,censor
0,SR Tendulkar,India,1989,2012,24,0
1,KC Sangakkara,SL,2000,2015,16,0
2,RT Ponting,Aus,1995,2012,18,0
3,ST Jayasuriya,SL,1989,2011,23,1
4,DPMD Jayawardene,SL,1998,2015,18,0
5,Inzamam-ul-Haq,Pak,1991,2007,17,1
6,JH Kallis,SA,1996,2014,19,0
7,SC Ganguly,India,1992,2007,16,1
8,R Dravid,India,1996,2011,16,1
9,BC Lara,WI,1990,2007,18,1
10,TM Dilshan,SL,1999,2016,18,0
11,Mohammad Yousuf,Pak,1998,2010,13,1
12,AC Gilchrist,Aus,1996,2008,13,1
13,M Azharuddin,India,1985,2000,16,1
14,PA de Silva,SL,1984,2003,20,1
15,CH Gayle,WI,1999,2015,17,0
16,MS Dhoni,India,2004,2016,13,0
17,Saeed Anwar,Pak,1989,2003,15,1
18,S Chanderpaul,WI,1994,2011,18,1
19,DL Haynes,WI,1978,1994,17,1
20,AB de Villiers,SA,2005,2016,12,0
21,MS Atapattu,SL,1990,2007,18,1
22,ME Waugh,Aus,1988,2002,15,1
23,Yuvraj Singh,India,2000,2013,14,0
24,V Sehwag,India,1999,2013,15,0
25,HH Gibbs,SA,1996,2010,15,1
26,Shahid Afridi,Pak,1996,2015,20,0
27,SP Fleming,NZ,1994,2007,14,1
28,MJ Clarke,Aus,2003,2015,13,0
29,SR Waugh,Aus,1986,2002,17,1
30,A Ranatunga,SL,1982,1999,18,1
31,Javed Miandad,Pak,1975,1996,22,1
32,Younis Khan,Pak,2000,2015,16,0
33,V Kohli,India,2008,2016,9,0
34,Saleem Malik,Pak,1982,1999,18,1
35,NJ Astle,NZ,1995,2007,13,1
36,GC Smith,SA,2002,2013,12,0
37,MG Bevan,Aus,1994,2004,11,1
38,G Kirsten,SA,1993,2003,11,1
39,A Flower,Zim,1992,2003,12,1
40,IVA Richards,WI,1975,1991,17,1
41,GW Flower,Zim,1992,2010,19,1
42,Ijaz Ahmed,Pak,1986,2000,15,1
43,AR Border,Aus,1979,1994,16,1
44,RB Richardson,WI,1983,1996,14,1
45,HM Amla,SA,2008,2016,9,0
46,ML Hayden,Aus,1993,2008,16,1
47,Shoaib Malik,Pak,1999,2016,18,0
48,BB McCullum,NZ,2002,2016,15,0
49,DM Jones,Aus,1984,1994,11,1
50,DC Boon,Aus,1984,1995,12,1
51,JN Rhodes,SA,1992,2003,12,1
52,Rameez Raja,Pak,1985,1997,13,1
53,RR Sarwan,WI,2000,2013,14,0
54,CL Hooper,WI,1987,2003,17,1
55,SR Watson,Aus,2002,2015,14,0
56,LRPL Taylor,NZ,2006,2016,11,0
57,SK Raina,India,2005,2015,11,0
58,WJ Cronje,SA,1992,2000,9,1
59,MEK Hussey,Aus,2004,2012,9,0
60,IR Bell,Eng,2004,2015,12,0
61,WU Tharanga,SL,2005,2015,11,0
62,A Jadeja,India,1992,2000,9,1
63,Mohammad Hafeez,Pak,2003,2016,14,0
64,DR Martyn,Aus,1992,2006,15,1
65,BRM Taylor,Zim,2004,2015,12,0
66,G Gambhir,India,2003,2013,11,0
67,ADR Campbell,Zim,1992,2003,12,1
68,RS Mahanama,SL,1986,1999,14,1
69,CG Greenidge,WI,1975,1991,17,1
70,Misbah-ul-Haq,Pak,2002,2015,14,0
71,PD Collingwood,Eng,2001,2011,11,1
72,A Symonds,Aus,1998,2009,12,1
73,Abdul Razzaq,Pak,1996,2011,16,1
74,RG Sharma,India,2007,2016,10,0
75,CL Cairns,NZ,1991,2006,16,1
76,MJ Guptill,NZ,2009,2016,8,0
77,MN Samuels,WI,2000,2015,16,0
78,Aamer Sohail,Pak,1990,2000,11,1
79,EJG Morgan,Eng,2006,2016,11,0
80,Tamim Iqbal,Ban,2007,2015,9,0
81,CD McMillan,NZ,1997,2007,11,1
82,MD Crowe,NZ,1982,1995,14,1
83,MV Boucher,SA,1998,2011,14,1
84,AJ Stewart,Eng,1989,2003,15,1
85,H Masakadza,Zim,2001,2016,16,0
86,SB Styris,NZ,1999,2011,13,1
87,KP Pietersen,Eng,2004,2013,10,0
88,NS Sidhu,India,1987,1998,12,1
89,Shakib Al Hasan,Ban,2006,2015,10,0
90,CZ Harris,NZ,1990,2004,15,1
91,GR Marsh,Aus,1986,1992,7,1
92,ME Trescothick,Eng,2000,2006,7,1
93,GA Gooch,Eng,1976,1995,20,1
94,AJ Strauss,Eng,2003,2011,9,1
95,E Chigumbura,Zim,2004,2016,13,0
96,K Srikkanth,India,1981,1992,12,1
97,AD Mathews,SL,2008,2016,9,0
98,JP Duminy,SA,2004,2016,13,0
99,AJ Lamb,Eng,1982,1992,11,1
100,RP Arnold,SL,1997,2007,11,1
101,Mushfiqur Rahim,Ban,2006,2015,10,0
102,AP Gurusinha,SL,1985,1996,12,1
103,JG Wright,NZ,1978,1992,15,1
104,DJ Cullinan,SA,1993,2000,8,1
105,GA Hick,Eng,1991,2001,11,1
106,HP Tillakaratne,SL,1986,2003,18,1
107,N Kapil Dev,India,1978,1994,17,1
108,Wasim Akram,Pak,1984,2003,20,1
109,RS Kaluwitharana,SL,1990,2004,15,1
110,Imran Khan,Pak,1974,1992,19,1
111,PV Simmons,WI,1987,1999,13,1
112,KS Williamson,NZ,2010,2016,7,0
113,NV Knight,Eng,1996,2003,8,1
114,L Klusener,SA,1996,2004,9,1
115,SM Pollock,SA,1996,2008,13,1
116,MA Taylor,Aus,1989,1997,9,1
117,DB Vengsarkar,India,1976,1991,16,1
118,Mohammad Ashraful,Ban,2001,2013,13,0
120,HH Dippenaar,SA,1999,2007,9,1
121,A Flintoff,Eng,1999,2009,11,1
122,T Taibu,Zim,2001,2012,12,0
123,KC Wessels,SA,1983,1994,12,1
124,AC Parore,NZ,1992,2002,11,1
125,Moin Khan,Pak,1990,2004,15,1
126,AN Cook,Eng,2006,2014,9,0
127,DI Gower,Eng,1978,1991,14,1
128,Kamran Akmal,Pak,2002,2013,12,0
129,KR Rutherford,NZ,1985,1995,11,1
130,BJ Haddin,Aus,2001,2015,15,0
131,RJ Shastri,India,1981,1992,12,1
132,SM Gavaskar,India,1974,1987,14,1
133,S Dhawan,India,2010,2016,7,0
134,DS Lehmann,Aus,1996,2005,10,1
135,DJ Bravo,WI,2004,2014,11,0
136,F du Plessis,SA,2011,2016,6,0
137,HH Streak,Zim,1993,2005,13,1
138,Umar Akmal,Pak,2009,2015,7,0
139,V Sibanda,Zim,2003,2015,13,0
140,WW Hinds,WI,1999,2010,12,1
141,IJL Trott,Eng,2009,2013,5,0
142,AL Logie,WI,1981,1993,13,1
143,AH Jones,NZ,1987,1995,9,1
144,M Kaif,India,2002,2006,5,1
145,SV Carlisle,Zim,1995,2005,11,1
146,Salman Butt,Pak,2004,2010,7,1
147,RG Twose,NZ,1995,2001,7,1
148,GJ Whittall,Zim,1993,2003,11,1
149,RS Bopara,Eng,2007,2015,9,0
150,SC Williams,Zim,2005,2015,11,0
151,Mudassar Nazar,Pak,1977,1989,13,1
152,Mahmudullah,Ban,2007,2015,9,0
153,HDRL Thirimanne,SL,2010,2016,7,0
154,JE Root,Eng,2013,2016,4,0
155,Zaheer Abbas,Pak,1974,1985,12,1
156,AC Hudson,SA,1991,1997,7,1
157,DA Warner,Aus,2009,2016,8,0
158,Ahmed Shehzad,Pak,2009,2016,8,0
159,GJ Bailey,Aus,2012,2016,5,0
160,VG Kambli,India,1991,2000,10,1
162,JDP Oram,NZ,2001,2012,12,0
163,LD Chandimal,SL,2010,2016,7,0
165,RA Smith,Eng,1988,1996,9,1
166,L Vincent,NZ,2001,2007,7,1
167,GP Thorpe,Eng,1993,2002,10,1
169,VVS Laxman,India,1998,2006,9,1
170,RR Singh,India,1989,2001,13,1
171,N Hussain,Eng,1989,2003,15,1
172,GS Chappell,Aus,1971,1983,13,1
173,Q de Kock,SA,2013,2016,4,0
174,DM Bravo,WI,2009,2015,7,0
175,SL Campbell,WI,1994,2001,8,1
176,DL Vettori,NZ,1997,2015,19,0
177,CJ Chibhabha,Zim,2005,2016,12,0
178,S Matsikenyeri,Zim,2002,2015,14,0
179,GM Wood,Aus,1978,1989,12,1
180,MJ Greatbatch,NZ,1988,1996,9,1
181,JC Adams,WI,1992,2001,10,1
182,Shahriar Nafees,Ban,2005,2011,7,1
183,Habibul Bashar,Ban,1995,2007,13,1
184,IT Botham,Eng,1976,1992,17,1
185,MW Gatting,Eng,1977,1993,17,1
186,AM Rahane,India,2011,2016,6,0
187,NH Fairbrother,Eng,1987,1999,13,1
188,RL Powell,WI,1999,2005,7,1
189,SPD Smith,Aus,2010,2016,7,0
190,AJ Finch,Aus,2013,2016,4,0
192,KA Pollard,WI,2007,2014,8,0
193,CL White,Aus,2005,2015,11,0
195,Yasir Hameed,Pak,2003,2007,5,1
196,WPUJC Vaas,SL,1994,2008,15,1
198,SV Manjrekar,India,1988,1996,9,1
199,MP Vaughan,Eng,2001,2007,7,1
200,CH Lloyd,WI,1973,1985,13,1
201,GD Elliott,NZ,2008,2016,9,0
202,KJ Hughes,Aus,1977,1985,9,1
204,LMP Simmons,WI,2006,2015,10,0
205,Aftab Ahmed,Ban,2004,2010,7,1
207,PJL Dujon,WI,1981,1991,11,1
208,M Amarnath,India,1975,1989,15,1
209,D Ramdin,WI,2005,2015,11,0
210,KLT Arthurton,WI,1988,1999,12,1
211,Imran Nazir,Pak,1999,2009,11,1
212,Mohsin Khan,Pak,1977,1986,10,1
213,JV Coney,NZ,1979,1987,9,1
214,DJG Sammy,WI,2004,2015,12,0
215,RD Jacobs,WI,1996,2004,9,1
216,M Prabhakar,India,1984,1996,13,1
217,SE Marsh,Aus,2008,2016,9,0
218,RA Jadeja,India,2009,2016,8,0
219,OA Shah,Eng,2001,2009,9,1
220,DA Miller,SA,2010,2015,6,0
221,MW Goodwin,Zim,1998,2000,3,1
222,Khaled Mashud,Ban,1995,2006,12,1
223,BA Edgar,NZ,1978,1986,9,1
224,JC Buttler,Eng,2012,2016,5,0
225,DJ Hussey,Aus,2008,2013,6,0
226,MA Atherton,Eng,1990,1998,9,1
227,IA Healy,Aus,1988,1997,10,1
228,Sir RJ Hadlee,NZ,1973,1990,18,1
229,EC Joyce,Eng,2006,2015,10,0
230,Imran Farhat,Pak,2001,2013,13,0
231,CB Wishart,Zim,1996,2005,10,1
232,GJ Maxwell,Aus,2012,2016,5,0
233,Rashid Latif,Pak,1992,2003,12,1
234,DA Gunawardene,SL,1998,2006,9,1
235,ND McKenzie,SA,2000,2009,10,1
236,NC Johnson,Zim,1998,2000,3,1
237,BA Young,NZ,1990,1999,10,1
238,UDU Chandana,SL,1994,2007,14,1
239,GM Turner,NZ,1973,1983,11,1
240,LPC Silva,SL,1999,2011,13,1
241,SC Williams,WI,1994,1999,6,1
242,Saleem Elahi,Pak,1995,2004,10,1
243,RL Dias,SL,1979,1987,9,1
244,DR Smith,WI,2004,2015,12,0
245,CK Kapugedera,SL,2006,2016,11,0
246,Imrul Kayes,Ban,2008,2015,8,0
247,IK Pathan,India,2004,2012,9,0
249,DL Houghton,Zim,1983,1997,15,1
250,LRD Mendis,SL,1975,1989,15,1
251,Azhar Mahmood,Pak,1996,2007,12,1
252,RS Morton,WI,2002,2010,9,1
253,JJ Crowe,NZ,1983,1990,8,1
254,JM Kemp,SA,2001,2007,7,1
258,HJH Marshall,NZ,2003,2007,5,1
259,DD Ebrahim,Zim,2001,2005,5,1
260,Mashrafe Mortaza,Ban,2001,2015,15,0
261,Sikandar Raza,Zim,2013,2016,4,0
263,Nasir Jamshed,Pak,2008,2015,8,0
264,HA Gomes,WI,1978,1987,10,1
265,N Boje,SA,1995,2005,11,1
267,P Utseya,Zim,2004,2015,12,0
268,CR Ervine,Zim,2010,2015,6,0
269,GP Howarth,NZ,1975,1985,11,1
270,JD Ryder,NZ,2008,2014,7,0
271,BC Broad,Eng,1987,1988,2,1
274,PG Fulton,NZ,2004,2009,6,1
275,JR Hopes,Aus,2005,2010,6,1
276,SM Katich,Aus,2001,2006,6,1
277,Asad Shafiq,Pak,2010,2015,6,0
278,KD Karthik,India,2004,2014,11,0
279,Javed Omar,Ban,1995,2007,13,1
280,Raqibul Hasan,Ban,2008,2011,4,1
282,MS Sinclair,NZ,2000,2009,10,1
284,PN Kirsten,SA,1991,1994,4,1
285,MJ Prior,Eng,2004,2011,8,1
286,KMDN Kulasekara,SL,2003,2016,14,0
287,NR Mongia,India,1994,2000,7,1
288,JEC Franklin,NZ,2001,2013,13,0
289,AB Agarkar,India,1998,2007,10,1
290,Shoaib Mohammad,Pak,1984,1993,10,1
291,Basit Ali,Pak,1993,1996,4,1
292,MDKJ Perera,SL,2013,2015,3,0
293,Azhar Ali,Pak,2011,2016,6,0
294,SP O'Donnell,Aus,1985,1991,7,1
295,Harbhajan Singh,India,1998,2015,18,0
296,SG Law,Aus,1994,1999,6,1
297,Alok Kapali,Ban,2002,2011,10,1
299,Nasir Hossain,Ban,2011,2015,5,0
300,D Mongia,India,2001,2007,7,1
301,RW Marsh,Aus,1971,1984,14,1
302,HDPK Dharmasena,SL,1994,2004,11,1
303,TM Moody,Aus,1987,1999,13,1
304,Junaid Siddique,Ban,2007,2011,5,1
305,Mohammad Rafique,Ban,1995,2007,13,1
306,NLTC Perera,SL,2009,2016,8,0
307,B Lee,Aus,2000,2012,13,0
308,JA Rudolph,SA,2003,2006,4,1
309,MS Wade,Aus,2012,2016,5,0
310,L Ronchi,Aus,2008,2016,9,0
314,VS Solanki,Eng,2000,2006,7,1
317,PA Strang,Zim,1994,2001,8,1
318,G Boycott,Eng,1971,1981,11,1
319,Sarfraz Ahmed,Pak,2007,2016,10,0
320,NL McCullum,NZ,2009,2015,7,0
321,Asif Mujtaba,Pak,1986,1996,11,1
322,DW Randall,Eng,1976,1985,10,1
323,DS Smith,WI,2003,2013,11,0
325,IDS Smith,NZ,1980,1992,13,1
326,C Kieswetter,Eng,2010,2013,4,0
327,KD Mills,NZ,2001,2015,15,0
328,JM How,NZ,2005,2011,7,1
330,MF Maharoof,SL,2004,2012,9,0
331,DSBP Kuruppu,SL,1983,1990,8,1
332,AG Prince,SA,2002,2007,6,1
333,SK Warne,Aus,1993,2005,13,1
334,CJ Anderson,NZ,2013,2016,4,0
335,J Charles,WI,2012,2015,4,0
336,SM Patil,India,1980,1986,7,1
337,Rajin Saleh,Ban,2003,2006,4,1
340,Khaled Mahmud,Ban,1998,2006,9,1
341,BL Cairns,NZ,1974,1985,12,1
342,MJ Slater,Aus,1993,1997,5,1
343,AD Russell,WI,2011,2015,5,0
344,MJ Horne,NZ,1997,2002,6,1
346,Akram Khan,Ban,1988,2003,16,1
348,Naeem Islam,Ban,2008,2014,7,0
350,Waqar Younis,Pak,1989,2003,15,1
352,Fawad Alam,Pak,2007,2015,9,0
353,SA Thomson,NZ,1990,1996,7,1
355,AD Hales,Eng,2014,2016,3,0
356,GM Ritchie,Aus,1982,1987,6,1
358,MD Marshall,WI,1980,1992,13,1
359,AT Rayudu,India,2013,2015,3,0
360,MG Johnson,Aus,2005,2015,11,0
361,Anamul Haque,Ban,2012,2015,4,0
362,RS Madugalle,SL,1979,1988,10,1
363,A Kumble,India,1990,2007,18,1
364,CM Spearman,NZ,1995,2001,7,1
365,RV Uthappa,India,2006,2015,10,0
368,TWM Latham,NZ,2012,2016,5,0
370,AJ Hall,SA,1999,2007,9,1
371,MN Waller,Zim,2009,2016,8,0
372,JWA Taylor,Eng,2011,2015,5,0
374,J Srinath,India,1991,2003,13,1
375,Yashpal Sharma,India,1978,1985,8,1
376,JP Faulkner,Aus,2013,2016,4,0
377,TT Bresnan,Eng,2006,2015,10,0
378,SHT Kandamby,SL,2004,2014,11,0
379,MR Marsh,Aus,2011,2016,6,0
380,AC Voges,Aus,2007,2013,7,0
381,DJ Richardson,SA,1991,1998,8,1
382,MA Vermeulen,Zim,2000,2009,10,1
383,HK Badani,India,2000,2004,5,1
384,GO Jones,Eng,2004,2014,11,0
385,TT Samaraweera,SL,1998,2011,14,1
386,SB Smith,Aus,1983,1985,3,1
387,RR Rossouw,SA,2014,2016,3,0
388,DL Amiss,Eng,1972,1977,6,1
389,MM Ali,Eng,2014,2016,3,0
390,RA Harper,WI,1983,1996,14,1
391,WB Phillips,Aus,1982,1986,5,1
392,CWJ Athey,Eng,1980,1988,9,1
393,RS Kalpage,SL,1992,1999,8,1
394,MAR Samarasekera,SL,1983,1994,12,1
395,D Ganga,WI,1999,2006,8,1
396,CA Ingram,SA,2010,2013,4,0
397,BM McMillan,SA,1991,1998,8,1
398,CK Coventry,Zim,2003,2015,13,0
399,DW Hookes,Aus,1977,1986,10,1
400,PJ Hughes,Aus,2013,2014,2,0
401,AI Kallicharran,WI,1973,1981,9,1
402,JR Ratnayeke,SL,1982,1990,9,1
403,GN Yallop,Aus,1978,1984,7,1
404,AC Waller,Zim,1987,1997,11,1
405,YK Pathan,India,2008,2012,5,0
407,Aminul Islam,Ban,1988,2002,15,1
408,Z Khan,India,2000,2012,13,0
409,GB Hogg,Aus,1996,2008,13,1
410,Majid Khan,Pak,1973,1982,10,1
411,S Wettimuny,SL,1982,1987,6,1
413,R Lamba,India,1986,1989,4,1
415,JA Morkel,SA,2004,2012,9,0
416,Wasim Raja,Pak,1973,1985,13,1
417,Abdur Razzak,Ban,2004,2014,11,0
419,Haris Sohail,Pak,2013,2015,3,0
420,KOA Powell,WI,2009,2014,6,0
421,Saleem Yousuf,Pak,1982,1990,9,1
422,F Behardien,SA,2013,2016,4,0
423,CN Evans,Zim,1992,2002,11,1
425,KWR Fletcher,Eng,1971,1982,12,1
426,J Dyson,Aus,1980,1983,4,1
428,G Fowler,Eng,1983,1986,4,1
431,Manzoor Elahi,Pak,1984,1995,12,1
433,TD Paine,Aus,2009,2011,3,1
434,PA Patel,India,2003,2012,10,0
435,Sohaib Maqsood,Pak,2013,2016,4,0
437,CJ Nevin,NZ,2000,2003,4,1
438,CJ Tavare,Eng,1980,1984,5,1
439,MA Ealham,Eng,1996,2001,6,1
440,IJ Harvey,Aus,1997,2004,8,1
441,Saqlain Mushtaq,Pak,1995,2003,9,1
442,LJ Wright,Eng,2007,2014,8,0
443,J Mubarak,SL,2002,2013,12,0
444,PA Wallace,WI,1991,2000,10,1
445,SM Ervine,Zim,2001,2004,4,1
446,PL Symcox,SA,1993,1999,7,1
447,Soumya Sarkar,Ban,2014,2015,2,0
448,PAJ DeFreitas,Eng,1987,1997,11,1
449,BA Stokes,Eng,2011,2016,6,0
450,N Deonarine,WI,2005,2015,11,0
451,JR Murray,WI,1992,1999,8,1
452,M Muralitharan,SL,1993,2011,19,1
453,IM Chappell,Aus,1971,1980,10,1
454,DA Marillier,Zim,2000,2003,4,1
455,UC Hathurusingha,SL,1992,1999,8,1
457,CJ Ferguson,Aus,2009,2011,3,1
458,R Ashwin,India,2010,2016,7,0
459,S Ramesh,India,1999,1999,1,1
460,Qasim Umar,Pak,1983,1987,5,1
461,Abdul Qadir,Pak,1983,1993,11,1
463,CEL Ambrose,WI,1988,2000,13,1
464,JF Reid,NZ,1980,1986,7,1
466,RMH Binny,India,1980,1987,8,1
467,GR Larsen,NZ,1990,1999,10,1
468,AM Blignaut,Zim,1999,2010,12,1
469,DJ Nash,NZ,1992,2002,11,1
470,DN Patel,NZ,1987,1997,11,1
472,GRJ Matthews,Aus,1984,1993,10,1
473,WV Raman,India,1988,1996,9,1
474,GJ Rennie,Zim,1996,2003,8,1
475,SFAF Bacchus,WI,1978,1983,6,1
476,RJ Ratnayake,SL,1982,1993,12,1
477,J Botha,SA,2005,2012,8,0
478,D Gough,Eng,1994,2006,13,1
479,AJ Hollioake,Eng,1996,1999,4,1
480,BMAJ Mendis,SL,2010,2015,6,0
481,RIC Holder,WI,1993,1997,5,1
482,RT Robinson,Eng,1984,1988,5,1
483,BM Laird,Aus,1979,1982,4,1
484,Mansoor Akhtar,Pak,1980,1990,11,1
485,W Larkins,Eng,1979,1991,13,1
488,RJ Nicol,NZ,2011,2013,3,0
489,SB Joshi,India,1996,2001,6,1
490,RT Latham,NZ,1990,1994,5,1
492,BJ Hodge,Aus,2005,2007,3,1
493,MJR Rindel,SA,1994,1999,6,1
494,Tushar Imran,Ban,2001,2007,7,1
495,C White,Eng,1994,2003,10,1
497,KS More,India,1984,1993,10,1
498,JJ Roy,Eng,2015,2016,2,0
499,Aamer Malik,Pak,1988,1994,7,1
501,RJ Peterson,SA,2002,2014,13,0
502,GS Blewett,Aus,1995,1999,5,1
503,TJ Friend,Zim,2000,2004,5,1
504,T Duffin,Zim,2006,2007,2,1
