,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
0,SR Tendulkar (India),1989-2012,463,452,41,18426,200*,44.83,21367,86.23,49,96,20
1,KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
2,RT Ponting (Aus/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
3,ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.20,28,68,34
4,DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28
5,Inzamam-ul-Haq (Asia/Pak),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20
6,JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
7,SC Ganguly (Asia/India),1992-2007,311,300,23,11363,183,41.02,15416,73.70,22,72,16
8,R Dravid (Asia/ICC/India),1996-2011,344,318,40,10889,153,39.16,15284,71.24,12,83,13
9,BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16
10,TM Dilshan (SL),1999-2016,327,300,41,10216,161*,39.44,11830,86.35,22,47,11
11,Mohammad Yousuf (Asia/Pak),1998-2010,288,273,40,9720,141*,41.71,12942,75.10,15,64,15
12,AC Gilchrist (Aus/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19
13,M Azharuddin (India),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9
14,PA de Silva (SL),1984-2003,308,296,30,9284,145,34.90,11443,81.13,11,64,17
15,CH Gayle (ICC/WI),1999-2015,269,264,17,9221,215,37.33,10834,85.11,22,47,23
16,MS Dhoni (Asia/India),2004-2016,275,241,67,8918,183*,51.25,9989,89.27,9,60,8
17,Saeed Anwar (Pak),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15
18,S Chanderpaul (WI),1994-2011,268,251,40,8778,150,41.60,12408,70.74,11,59,6
19,DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13
20,AB de Villiers (Afr/SA),2005-2016,200,192,34,8621,162*,54.56,8605,100.18,24,48,6
21,MS Atapattu (SL),1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13
22,ME Waugh (Aus),1988-2002,244,236,20,8500,173,39.35,11053,76.90,18,50,16
23,Yuvraj Singh (Asia/India),2000-2013,293,268,39,8329,139,36.37,9547,87.24,13,51,18
24,V Sehwag (Asia/ICC/India),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14
25,HH Gibbs (SA),1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22
26,Shahid Afridi (Asia/ICC/Pak),1996-2015,398,369,27,8064,124,23.57,6892,117.00,6,39,30
27,SP Fleming (ICC/NZ),1994-2007,280,269,21,8037,134*,32.40,11242,71.49,8,49,17
28,MJ Clarke (Aus),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10
29,SR Waugh (Aus),1986-2002,325,288,58,7569,120*,32.90,9971,75.91,3,45,15
30,A Ranatunga (SL),1982-1999,269,255,47,7456,131*,35.84,9571,77.90,4,49,18
31,Javed Miandad (Pak),1975-1996,233,218,41,7381,119*,41.70,11014,67.01,8,50,8
32,Younis Khan (Pak),2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22
33,V Kohli (India),2008-2016,171,163,23,7212,183,51.51,8016,89.97,25,36,10
34,Saleem Malik (Pak),1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19
35,NJ Astle (NZ),1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19
36,GC Smith (Afr/SA),2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8
37,MG Bevan (Aus),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5
38,G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11
39,A Flower (Zim),1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13
40,IVA Richards (WI),1975-1991,187,167,24,6721,189*,47.00,7451,90.20,11,45,7
41,GW Flower (Zim),1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18
42,Ijaz Ahmed (Pak),1986-2000,250,232,29,6564,139*,32.33,8174,80.30,10,37,14
43,AR Border (Aus),1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11
44,RB Richardson (WI),1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8
45,HM Amla (SA),2008-2016,131,128,9,6204,159,52.13,6966,89.06,22,29,3
46,ML Hayden (Aus/ICC),1993-2008,161,155,15,6133,181*,43.80,7767,78.96,10,36,9
47,Shoaib Malik (Pak),1999-2016,232,209,31,6129,143,34.43,7600,80.64,8,35,13
48,BB McCullum (NZ),2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20
49,DM Jones (Aus),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6
50,DC Boon (Aus),1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6
51,JN Rhodes (SA),1992-2003,245,220,51,5935,121,35.11,7336,80.90,2,33,12
52,Rameez Raja (Pak),1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15
53,RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8
54,CL Hooper (WI),1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7
55,SR Watson (Aus),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12
56,LRPL Taylor (NZ),2006-2016,171,157,27,5707,131*,43.90,6910,82.59,15,32,8
57,SK Raina (India),2005-2015,223,192,35,5568,116*,35.46,5938,93.76,5,36,14
58,WJ Cronje (SA),1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8
59,MEK Hussey (Aus),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3
60,IR Bell (Eng),2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6
61,WU Tharanga (Asia/SL),2005-2015,180,172,9,5407,174*,33.17,7342,73.64,13,28,14
62,A Jadeja (India),1992-2000,196,179,36,5359,119,37.47,7677,69.80,6,30,10
63,Mohammad Hafeez (Pak),2003-2016,175,175,10,5356,140*,32.46,7143,74.98,11,28,16
64,DR Martyn (Aus),1992-2006,208,182,51,5346,144*,40.80,6877,77.73,5,37,10
65,BRM Taylor (Zim),2004-2015,167,166,15,5258,145*,34.82,7060,74.47,8,32,13
66,G Gambhir (India),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11
67,ADR Campbell (Zim),1992-2003,188,184,14,5185,131*,30.50,7834,66.18,7,30,11
68,RS Mahanama (SL),1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15
69,CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3
70,Misbah-ul-Haq (Pak),2002-2015,162,149,31,5122,96*,43.40,6945,73.75,0,42,6
71,PD Collingwood (Eng),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7
72,A Symonds (Aus),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15
